,point,Real_ID,Real_count,Real_cap,Sim_ID,ID,capacity,type,speed
0,1-EB,28171,85000,4000,38241454_0,38241454_0,4000,freeway,33.33333333
1,1-WB,8164,85000,4000,37852639_0,37852639_0,4000,freeway,33.33333333
2,2-EB,34567,69000,4000,20635143_0,20635143_0,4000,freeway,33.33333333
3,2-WB,38511,69000,4000,40164793_0,40164793_0,4000,freeway,33.33333333
4,3-SB,34955,28000,4000,1083761593_0,1083761593_0,4000,arterial,22.22222222
5,3-NB,87895,28000,4000,1073015717_5,1073015717_5,4000,arterial,22.22222222
6,4-EB,87470,22000,2000,1107865946_4,1107865946_4,2000,arterial,16.66666667
7,4-WB,58908,22000,3000,692049556_2,692049556_2,3000,arterial,16.66666667
8,5-EB,36087,78000,6000,417985907_4,417985907_4,6000,arterial,22.22222222
9,5-WB,14329,78000,6000,99320263_0,99320263_0,6000,arterial,22.22222222
10,6-EB,34182,85000,4000,617083310_0,617083310_0,4000,freeway,33.33333333
11,6-WB,38563,85000,4000,617083307_0,617083307_0,4000,freeway,33.33333333
12,7-EB,2608,48000,4000,100946499_1,100946499_1,4000,freeway,33.33333333
13,7-WB,54857,48000,4000,1034140821_1,1034140821_1,4000,freeway,33.33333333
14,8-EB,28430,91000,4000,123061056_0,123061056_0,4000,freeway,33.33333333
15,8-WB,8518,91000,4000,48545588_0,48545588_0,4000,freeway,33.33333333
16,9-NB,9828,31000,5000,769004715_2_r,769004715_2_r,5000,arterial,22.22222222
17,9-SB,3236,31000,5000,769004715_2,769004715_2,5000,arterial,22.22222222
18,10-EB,942,114000,8000,47896199_0,47896199_0,8000,freeway,33.33333333
19,10-WB,55719,114000,8000,47896204_0,47896204_0,8000,freeway,33.33333333
20,11-EB,30832,135000,8000,692049628_0,692049628_0,8000,freeway,33.33333333
21,11-WB,10069,135000,8000,692049613_0,692049613_0,8000,freeway,33.33333333
22,12-EB,2305,142000,8000,404721089_0,404721089_0,8000,freeway,33.33333333
23,12-WB,53916,142000,8000,157482684_1,157482684_1,8000,freeway,33.33333333
24,13-EB,28063,160000,6000,1161027789_0,1161027789_0,6000,freeway,33.33333333
25,13-EB-ex,54920,160000,4000,137591120_0,137591120_0,4000,freeway,33.33333333
26,13-WB,8195,160000,6000,137591110_0,137591110_0,6000,freeway,33.33333333
27,14-NB,62378,37000,6000,1108501814_0,1108501814_0,6000,arterial,22.22222222
28,14-SB,26353,37000,6000,1069856214_0,1069856214_0,6000,arterial,22.22222222
29,15-NB,62021,43000,6000,1127457377_5,1127457377_5,6000,arterial,22.22222222
30,15-SB,25178,43000,6000,429971078_0,429971078_0,6000,arterial,22.22222222
31,16-NB,92854,43000,4500,1074248401_0,1074248401_0,4500,arterial,22.22222222
32,16-SB,4304,43000,4500,1041157540_5,1041157540_5,4500,arterial,22.22222222
33,17-EB,22781,31000,8000,623895751_0,623895751_0,8000,arterial,22.22222222
34,17-WB,44880,31000,8000,20629974_0,20629974_0,8000,arterial,22.22222222
35,18-EB,698,55000,6000,262962192_0,262962192_0,6000,freeway,33.33333333
36,18-WB,54780,55000,6000,20653726_1,20653726_1,6000,freeway,33.33333333
37,19-EB,29255,78000,6000,100839298_0,100839298_0,6000,freeway,33.33333333
38,19-WB,8232,78000,6000,100839278_0,100839278_0,6000,freeway,33.33333333
39,20-EB,28317,158000,8000,38240204_0,38240204_0,8000,freeway,33.33333333
40,20-WB,8619,158000,8000,100839283_0,100839283_0,8000,freeway,33.33333333
41,21-EB,50156,40000,8000,932975568_1,932975568_1,8000,arterial,22.22222222
42,21-WB,30289,40000,8000,691846235_0,691846235_0,8000,arterial,22.22222222
43,22-EB,33860,57000,6000,1034511725_0,1034511725_0,6000,freeway,33.33333333
44,22-WB,38378,57000,6000,20609770_0,20609770_0,6000,freeway,33.33333333
